post_id,account_id,account_type,follower_count,media_type,content_category,traffic_source,has_call_to_action,post_datetime,post_date,post_hour,day_of_week,likes,comments,shares,saves,reach,impressions,engagement_rate,followers_gained,caption_length,hashtags_count,performance_bucket_label
IG0000015,6,brand,10034,reel,Lifestyle,Home Feed,1,2025-03-16 11:00:00,2025-03-16,11,Sunday,333,10,15,48,5240,6377,0.0637,808,124,6,viral
IG0000016,2,creator,22291,reel,Music,Hashtags,1,2024-12-06 18:00:00,2024-12-06,18,Friday,271,8,13,47,5981,8127,0.0417,752,123,8,high
IG0000017,1,creator,9461,image,Travel,External,0,2025-07-11 20:00:00,2025-07-11,20,Friday,138,1,4,18,4489,5263,0.0306,920,133,8,medium
IG0000018,12,creator,13798,carousel,Beauty,Home Feed,0,2025-01-08 11:00:00,2025-01-08,11,Wednesday,261,5,16,35,6267,9464,0.0335,923,119,14,medium
IG0000019,12,creator,13798,image,Lifestyle,External,0,2025-06-20 06:00:00,2025-06-20,6,Friday,120,9,5,24,8187,11264,0.014,892,107,4,low
IG0000020,17,brand,15923,carousel,Travel,External,0,2025-06-13 04:00:00,2025-06-13,4,Friday,39,0,2,7,3345,4755,0.0101,216,135,2,low
IG0000021,10,creator,4542,image,Music,External,0,2025-02-11 14:00:00,2025-02-11,14,Tuesday,303,0,12,52,3950,5435,0.0675,87,115,11,viral
IG0000022,16,creator,9696,reel,Fashion,Reels Feed,0,2025-10-04 15:00:00,2025-10-04,15,Saturday,444,17,24,63,9965,13354,0.041,742,129,12,high
IG0000023,15,creator,8167,carousel,Photography,Home Feed,0,2025-02-26 10:00:00,2025-02-26,10,Wednesday,1946,52,96,264,29461,45796,0.0515,311,103,6,high
IG0000024,15,creator,8167,image,Lifestyle,Profile,1,2025-03-20 19:00:00,2025-03-20,19,Thursday,78,2,2,11,4093,6214,0.015,64,111,8,low
IG0000025,19,creator,3447,carousel,Comedy,Profile,1,2025-05-08 16:00:00,2025-05-08,16,Thursday,68,2,2,7,3610,4454,0.0177,394,109,8,low
IG0000026,12,brand,13798,carousel,Fashion,Hashtags,0,2025-02-18 05:00:00,2025-02-18,5,Tuesday,392,9,27,51,4994,6583,0.0728,243,128,10,viral
IG0000027,20,creator,31095,carousel,Photography,Reels Feed,0,2024-11-29 19:00:00,2024-11-29,19,Friday,843,24,42,117,17491,26749,0.0384,925,133,4,medium
IG0000028,3,creator,10018,carousel,Food,Profile,0,2025-10-19 21:00:00,2025-10-19,21,Sunday,170,5,8,29,4842,6834,0.031,559,117,6,medium
IG0000029,5,creator,10739,reel,Technology,Explore,1,2025-08-01 05:00:00,2025-08-01,5,Friday,76,2,3,3,3605,4679,0.018,382,118,13,low
IG0000030,19,creator,3447,carousel,Fitness,External,1,2025-07-26 11:00:00,2025-07-26,11,Saturday,0,5,18,52,8818,10172,0.0074,286,147,12,medium
IG0000031,7,creator,3551,reel,Comedy,Home Feed,0,2025-04-25 19:00:00,2025-04-25,19,Friday,65,0,10,11,1555,2211,0.0389,419,106,5,medium
IG0000032,9,creator,6916,image,Food,Profile,1,2025-05-25 07:00:00,2025-05-25,7,Sunday,253,0,16,36,5064,7689,0.0397,114,101,4,high
IG0000033,7,creator,3551,reel,Music,Home Feed,0,2025-04-17 19:00:00,2025-04-17,19,Thursday,56,4,2,10,3493,4286,0.0168,882,126,8,low
IG0000034,18,creator,7486,carousel,Food,Explore,1,2025-09-02 04:00:00,2025-09-02,4,Tuesday,836,21,40,132,12648,19638,0.0524,888,123,9,high
IG0000035,4,creator,4972,image,Technology,External,1,2025-07-14 20:00:00,2025-07-14,20,Monday,104,3,5,17,2063,2340,0.0551,916,95,6,high
IG0000036,14,brand,3083,reel,Music,Explore,0,2025-02-02 10:00:00,2025-02-02,10,Sunday,607,22,31,78,10668,14021,0.0526,861,116,8,high
IG0000037,18,creator,7486,reel,Comedy,Reels Feed,0,2024-12-01 01:00:00,2024-12-01,1,Sunday,0,6,14,42,15570,17200,0.0036,336,114,5,low
IG0000038,9,creator,6916,carousel,Technology,Reels Feed,0,2025-11-08 07:00:00,2025-11-08,7,Saturday,12,0,0,2,623,845,0.0166,311,110,6,low
IG0000039,2,creator,22291,image,Travel,External,1,2025-04-11 07:00:00,2025-04-11,7,Friday,927,21,47,151,17275,21598,0.0531,621,130,9,high
IG0000040,20,brand,31095,image,Fitness,Hashtags,0,2025-07-10 07:00:00,2025-07-10,7,Thursday,197,0,7,36,7200,11331,0.0212,907,111,7,low
IG0000041,15,brand,8167,image,Comedy,External,1,2024-11-25 16:00:00,2024-11-25,16,Monday,332,9,13,44,7259,10099,0.0394,359,142,10,high
IG0000042,7,creator,3551,image,Travel,Explore,1,2025-01-24 06:00:00,2025-01-24,6,Friday,162,2,4,25,4726,6342,0.0304,184,124,10,medium
IG0000043,12,creator,13798,reel,Photography,Reels Feed,0,2025-10-21 02:00:00,2025-10-21,2,Tuesday,36,1,2,10,2191,3085,0.0159,872,125,10,low
IG0000044,8,brand,15986,carousel,Comedy,Reels Feed,1,2025-06-09 00:00:00,2025-06-09,0,Monday,182,10,11,18,2994,4780,0.0462,409,93,2,high
IG0000045,15,creator,8167,image,Photography,External,0,2025-06-28 04:00:00,2025-06-28,4,Saturday,796,17,36,120,11931,14927,0.0649,419,141,8,viral
IG0000046,3,brand,10018,reel,Music,Profile,0,2025-07-29 15:00:00,2025-07-29,15,Tuesday,380,11,18,50,4926,7384,0.0622,924,104,5,viral
IG0000047,14,creator,3083,image,Travel,Hashtags,0,2025-05-17 03:00:00,2025-05-17,3,Saturday,114,1,4,13,1634,2605,0.0507,49,128,5,high
IG0000048,17,creator,15923,carousel,Fitness,Home Feed,1,2024-12-08 14:00:00,2024-12-08,14,Sunday,133,2,12,18,2230,3232,0.0511,335,131,10,high
IG0000049,4,creator,4972,carousel,Technology,External,0,2025-07-23 22:00:00,2025-07-23,22,Wednesday,109,1,8,12,3106,3478,0.0374,885,115,11,medium
IG0000050,18,creator,7486,reel,Beauty,External,1,2025-04-15 16:00:00,2025-04-15,16,Tuesday,149,1,6,26,5481,7116,0.0256,370,144,10,medium
IG0000051,8,brand,15986,reel,Food,Reels Feed,1,2025-03-12 16:00:00,2025-03-12,16,Wednesday,166,3,9,27,3436,4009,0.0511,426,122,6,high
IG0000052,4,brand,4972,reel,Fashion,Hashtags,0,2025-10-15 12:00:00,2025-10-15,12,Wednesday,28,2,2,8,2301,3165,0.0126,870,120,8,low
IG0000053,2,creator,22291,image,Fitness,External,1,2025-05-09 23:00:00,2025-05-09,23,Friday,336,12,14,47,5113,7017,0.0583,514,108,6,viral
IG0000054,6,creator,10034,image,Travel,Profile,0,2025-04-22 10:00:00,2025-04-22,10,Tuesday,273,8,17,41,12214,18325,0.0185,947,129,9,low
IG0000055,10,brand,4542,carousel,Beauty,External,0,2025-02-19 15:00:00,2025-02-19,15,Wednesday,154,5,8,23,4566,5996,0.0317,637,115,6,medium
IG0000056,4,creator,4972,reel,Fitness,External,0,2025-07-23 03:00:00,2025-07-23,3,Wednesday,96,1,4,12,2577,3508,0.0322,576,130,5,medium
IG0000057,18,creator,7486,carousel,Travel,Home Feed,1,2025-04-21 14:00:00,2025-04-21,14,Monday,179,3,10,21,2743,3141,0.0678,621,103,13,viral
IG0000058,12,creator,13798,image,Lifestyle,Reels Feed,0,2025-02-15 11:00:00,2025-02-15,11,Saturday,88,3,4,15,5256,7887,0.0139,669,134,6,low
IG0000059,2,creator,22291,reel,Lifestyle,External,0,2025-02-11 13:00:00,2025-02-11,13,Tuesday,89,0,3,18,2450,3197,0.0344,685,127,9,medium
IG0000060,10,brand,4542,reel,Photography,Explore,0,2025-10-14 12:00:00,2025-10-14,12,Tuesday,25,0,0,6,1249,1645,0.0188,574,116,10,low
IG0000061,4,creator,4972,image,Fitness,Hashtags,0,2024-12-20 08:00:00,2024-12-20,8,Friday,387,8,18,59,6898,11008,0.0429,80,111,10,high
IG0000062,14,creator,3083,image,Lifestyle,Reels Feed,0,2025-08-23 14:00:00,2025-08-23,14,Saturday,210,5,14,23,3588,5562,0.0453,92,127,6,high
IG0000063,16,brand,9696,reel,Travel,Profile,1,2024-12-17 15:00:00,2024-12-17,15,Tuesday,222,13,9,38,3230,4484,0.0629,718,136,8,viral
IG0000064,15,creator,8167,carousel,Photography,Explore,0,2025-03-20 09:00:00,2025-03-20,9,Thursday,830,20,32,115,17503,23815,0.0419,493,123,6,high
IG0000065,8,creator,15986,image,Travel,Profile,1,2025-06-27 04:00:00,2025-06-27,4,Friday,305,9,12,42,5675,8748,0.0421,360,106,6,medium
IG0000066,14,brand,3083,image,Photography,Hashtags,1,2025-07-06 10:00:00,2025-07-06,10,Sunday,611,20,27,89,22054,32271,0.0231,886,115,8,medium
IG0000067,8,creator,15986,carousel,Fitness,External,1,2025-07-04 05:00:00,2025-07-04,5,Friday,46,1,1,3,3430,4043,0.0126,335,138,11,low
IG0000068,16,creator,9696,carousel,Beauty,Home Feed,1,2025-04-22 10:00:00,2025-04-22,10,Tuesday,80,1,3,13,1217,1646,0.0589,524,115,5,viral
IG0000069,13,creator,5824,image,Technology,Reels Feed,0,2024-12-31 01:00:00,2024-12-31,1,Tuesday,112,3,7,20,3818,5470,0.026,816,125,6,medium
IG0000070,18,brand,7486,reel,Comedy,External,0,2025-06-17 18:00:00,2025-06-17,18,Tuesday,377,12,18,45,7438,11663,0.0388,358,151,6,medium
IG0000071,15,creator,8167,carousel,Beauty,Reels Feed,0,2025-02-08 22:00:00,2025-02-08,22,Saturday,222,11,12,38,7073,11199,0.0253,244,130,6,medium
IG0000072,13,creator,5824,carousel,Music,Home Feed,1,2025-05-09 14:00:00,2025-05-09,14,Friday,56,2,4,11,1464,1925,0.0379,555,126,2,medium
IG0000073,9,creator,6916,carousel,Travel,External,1,2025-07-26 11:00:00,2025-07-26,11,Saturday,171,0,12,29,5473,6041,0.0351,228,117,8,medium
IG0000074,15,brand,8167,image,Music,External,0,2025-10-30 06:00:00,2025-10-30,6,Thursday,147,5,6,18,2483,3019,0.0583,741,110,8,viral
IG0000075,13,creator,5824,reel,Beauty,Hashtags,0,2025-01-23 05:00:00,2025-01-23,5,Thursday,283,8,13,50,5771,8206,0.0431,215,106,7,high
IG0000076,1,brand,9461,image,Photography,Reels Feed,0,2025-04-12 10:00:00,2025-04-12,10,Saturday,374,20,18,57,6971,8922,0.0526,145,122,2,high
IG0000077,7,creator,3551,carousel,Comedy,Profile,0,2025-06-29 03:00:00,2025-06-29,3,Sunday,98,2,7,17,5374,6205,0.02,974,137,11,low
IG0000078,9,creator,6916,carousel,Comedy,Reels Feed,0,2024-12-14 13:00:00,2024-12-14,13,Saturday,442,14,26,62,13229,17187,0.0317,73,134,7,medium
IG0000079,1,brand,9461,image,Fashion,Explore,0,2025-10-20 09:00:00,2025-10-20,9,Monday,20,0,1,0,649,927,0.0227,730,132,11,medium
IG0000080,12,creator,13798,carousel,Comedy,Hashtags,0,2025-06-02 14:00:00,2025-06-02,14,Monday,424,16,14,69,5620,8267,0.0633,550,133,11,viral
IG0000081,8,creator,15986,image,Technology,External,0,2025-02-21 03:00:00,2025-02-21,3,Friday,304,10,10,46,4974,6248,0.0592,290,128,8,viral
IG0000082,11,creator,9044,carousel,Comedy,Hashtags,0,2025-04-11 12:00:00,2025-04-11,12,Friday,208,6,11,23,3185,4755,0.0522,52,105,6,high
IG0000083,19,creator,3447,carousel,Beauty,External,0,2025-04-27 07:00:00,2025-04-27,7,Sunday,103,1,2,19,5072,7960,0.0157,632,128,6,low
IG0000084,17,creator,15923,image,Fashion,Profile,0,2025-06-26 23:00:00,2025-06-26,23,Thursday,217,8,11,41,3855,5311,0.0522,214,106,12,high
IG0000085,8,brand,15986,carousel,Beauty,Reels Feed,1,2025-01-03 07:00:00,2025-01-03,7,Friday,264,15,14,44,11942,18409,0.0183,109,111,7,low
IG0000086,3,brand,10018,image,Beauty,Home Feed,0,2025-06-21 12:00:00,2025-06-21,12,Saturday,549,16,34,76,17769,22997,0.0294,615,147,3,medium
IG0000087,3,creator,10018,image,Food,External,0,2025-07-09 10:00:00,2025-07-09,10,Wednesday,154,6,9,20,4757,7514,0.0252,858,120,9,low
IG0000088,1,brand,9461,image,Fashion,Reels Feed,0,2025-08-11 04:00:00,2025-08-11,4,Monday,236,6,9,35,7666,9462,0.0302,265,138,10,medium
IG0000089,5,creator,10739,image,Beauty,Explore,0,2025-04-12 17:00:00,2025-04-12,17,Saturday,77,1,6,13,2424,3116,0.0311,550,112,3,medium
IG0000090,10,creator,4542,reel,Food,Profile,0,2025-03-06 17:00:00,2025-03-06,17,Thursday,102,0,5,15,3248,4339,0.0281,104,122,7,medium
IG0000091,7,creator,3551,carousel,Food,Reels Feed,0,2025-06-02 01:00:00,2025-06-02,1,Monday,859,28,33,132,18959,27322,0.0385,852,118,12,medium
IG0000092,9,creator,6916,carousel,Fashion,Profile,0,2025-06-16 21:00:00,2025-06-16,21,Monday,266,8,12,42,3456,4195,0.0782,749,117,9,viral
IG0000093,7,creator,3551,reel,Music,External,1,2025-08-03 14:00:00,2025-08-03,14,Sunday,198,6,7,17,10770,14676,0.0155,481,129,9,low
IG0000094,9,brand,6916,image,Photography,External,1,2025-08-30 04:00:00,2025-08-30,4,Saturday,126,4,8,16,1644,2454,0.0628,859,120,9,viral
IG0000095,8,brand,15986,image,Technology,Profile,0,2025-09-10 19:00:00,2025-09-10,19,Wednesday,103,4,5,12,1815,2446,0.0507,576,133,9,high
IG0000096,12,creator,13798,carousel,Photography,Home Feed,0,2025-02-01 03:00:00,2025-02-01,3,Saturday,96,3,6,15,4596,6557,0.0183,682,109,10,low
IG0000097,2,creator,22291,carousel,Comedy,External,1,2024-11-21 07:00:00,2024-11-21,7,Thursday,194,0,4,22,2666,3894,0.0565,534,118,5,viral
IG0000098,1,creator,9461,reel,Technology,Hashtags,0,2024-12-18 17:00:00,2024-12-18,17,Wednesday,49,0,2,11,2529,3779,0.0164,914,106,8,low
IG0000099,16,brand,9696,image,Comedy,Hashtags,1,2025-01-31 20:00:00,2025-01-31,20,Friday,86,1,5,13,5064,7357,0.0143,340,111,13,low
IG0000100,5,creator,10739,carousel,Beauty,External,0,2024-11-21 22:00:00,2024-11-21,22,Thursday,57,0,3,6,2926,4511,0.0146,335,96,10,low
IG0000101,3,creator,10018,carousel,Travel,Home Feed,1,2025-02-18 14:00:00,2025-02-18,14,Tuesday,58,1,1,10,4662,6162,0.0114,31,100,7,low
IG0000102,12,brand,13798,image,Fashion,Home Feed,0,2025-06-16 11:00:00,2025-06-16,11,Monday,760,18,48,128,14564,21812,0.0437,445,93,2,high
IG0000103,8,creator,15986,image,Technology,Explore,0,2024-12-19 06:00:00,2024-12-19,6,Thursday,270,0,9,37,3989,6237,0.0507,105,106,12,viral
IG0000104,3,creator,10018,image,Technology,Profile,0,2025-11-16 15:00:00,2025-11-16,15,Sunday,161,4,5,34,6335,8249,0.0247,905,106,8,medium
IG0000105,1,creator,9461,reel,Beauty,Reels Feed,0,2025-01-26 07:00:00,2025-01-26,7,Sunday,78,1,4,0,1232,1958,0.0424,934,124,8,high
IG0000106,3,creator,10018,image,Music,Profile,0,2025-03-11 13:00:00,2025-03-11,13,Tuesday,266,10,10,0,5472,8490,0.0337,205,112,7,medium
IG0000107,5,creator,10739,carousel,Food,External,0,2025-06-29 18:00:00,2025-06-29,18,Sunday,388,14,21,61,26032,40087,0.0121,975,109,2,low
IG0000108,15,creator,8167,image,Beauty,Hashtags,0,2025-06-02 17:00:00,2025-06-02,17,Monday,38,2,1,5,3266,4989,0.0092,442,128,9,low
IG0000109,14,creator,3083,image,Lifestyle,Home Feed,0,2025-06-26 07:00:00,2025-06-26,7,Thursday,714,23,24,95,12067,13440,0.0637,170,123,6,viral
IG0000110,3,creator,10018,reel,Food,Home Feed,0,2025-03-28 15:00:00,2025-03-28,15,Friday,182,5,9,21,3552,5553,0.0391,842,122,7,medium
IG0000111,1,creator,9461,image,Fashion,External,1,2025-04-07 08:00:00,2025-04-07,8,Monday,111,3,6,15,2110,2690,0.0502,724,130,9,high
IG0000112,5,creator,10739,image,Food,Hashtags,1,2025-08-15 00:00:00,2025-08-15,0,Friday,0,3,1,17,1957,3043,0.0069,109,111,9,high
IG0000113,14,creator,3083,image,Music,Explore,0,2025-04-30 07:00:00,2025-04-30,7,Wednesday,409,15,27,75,10574,14101,0.0373,41,119,7,medium
IG0000114,7,brand,3551,image,Food,Explore,0,2025-03-05 06:00:00,2025-03-05,6,Wednesday,666,11,36,96,9733,15371,0.0526,71,126,7,high
IG0000115,9,creator,6916,image,Fashion,Explore,0,2025-05-12 07:00:00,2025-05-12,7,Monday,92,3,3,23,5488,8527,0.0142,151,136,11,low
IG0000116,15,creator,8167,reel,Music,Reels Feed,0,2025-02-05 12:00:00,2025-02-05,12,Wednesday,118,5,4,18,3701,5060,0.0287,444,112,8,medium
IG0000117,15,creator,8167,image,Photography,External,0,2025-07-29 02:00:00,2025-07-29,2,Tuesday,625,20,33,98,8958,12620,0.0615,964,124,9,viral
IG0000118,10,creator,4542,carousel,Technology,Reels Feed,0,2025-04-30 01:00:00,2025-04-30,1,Wednesday,237,9,9,37,4622,6992,0.0418,95,128,7,high
IG0000119,13,creator,5824,image,Technology,External,1,2025-03-10 12:00:00,2025-03-10,12,Monday,117,3,7,15,4645,6192,0.0229,495,123,10,medium
IG0000120,19,brand,3447,reel,Comedy,Reels Feed,0,2025-04-20 03:00:00,2025-04-20,3,Sunday,20,0,1,4,1309,1496,0.0167,881,118,6,low
IG0000121,7,creator,3551,image,Photography,Reels Feed,0,2025-06-24 22:00:00,2025-06-24,22,Tuesday,558,16,26,92,8359,10904,0.0635,88,131,5,viral
IG0000122,17,brand,15923,carousel,Photography,Hashtags,1,2024-12-22 01:00:00,2024-12-22,1,Sunday,191,9,10,24,2974,4239,0.0552,291,126,10,high
IG0000123,20,creator,31095,carousel,Food,Reels Feed,1,2025-10-30 22:00:00,2025-10-30,22,Thursday,127,4,6,25,6432,8126,0.0199,196,129,8,low
IG0000124,4,creator,4972,image,Technology,Reels Feed,0,2025-10-10 06:00:00,2025-10-10,6,Friday,164,5,8,26,4860,6617,0.0307,762,108,6,medium
IG0000125,5,brand,10739,carousel,Fashion,Reels Feed,0,2025-06-14 08:00:00,2025-06-14,8,Saturday,89,6,3,8,5619,8609,0.0123,313,121,11,low
IG0000126,7,creator,3551,reel,Fitness,Explore,1,2025-09-24 18:00:00,2025-09-24,18,Wednesday,129,4,7,16,5575,7061,0.0221,817,123,8,low
IG0000127,13,creator,5824,image,Fitness,Explore,0,2025-06-07 08:00:00,2025-06-07,8,Saturday,114,3,9,25,1452,2227,0.0678,755,112,10,viral
IG0000128,15,creator,8167,reel,Music,Home Feed,0,2025-07-13 22:00:00,2025-07-13,22,Sunday,155,4,7,21,2005,2740,0.0682,594,119,3,viral
IG0000129,11,creator,9044,image,Technology,Reels Feed,0,2024-12-13 10:00:00,2024-12-13,10,Friday,196,11,14,31,2945,3626,0.0695,314,93,11,viral
IG0000130,4,creator,4972,image,Technology,Hashtags,0,2025-08-14 12:00:00,2025-08-14,12,Thursday,158,4,10,15,5887,7778,0.024,622,110,10,low
IG0000131,13,brand,5824,image,Fitness,Profile,0,2024-11-24 07:00:00,2024-11-24,7,Sunday,174,9,7,23,4343,6653,0.032,423,126,6,medium
IG0000132,7,creator,3551,reel,Technology,Home Feed,1,2025-10-02 13:00:00,2025-10-02,13,Thursday,854,26,34,115,19172,25478,0.0404,308,112,4,high
IG0000133,19,brand,3447,image,Food,External,0,2025-09-29 18:00:00,2025-09-29,18,Monday,25,1,0,2,2120,2870,0.0098,998,122,8,low
IG0000134,2,creator,22291,carousel,Lifestyle,Explore,0,2025-04-29 04:00:00,2025-04-29,4,Tuesday,680,18,18,102,14338,20743,0.0394,132,142,7,medium
IG0000135,10,creator,4542,carousel,Travel,Reels Feed,0,2025-02-04 15:00:00,2025-02-04,15,Tuesday,164,3,9,23,10093,15222,0.0131,934,114,13,low
IG0000136,13,creator,5824,reel,Photography,Explore,1,2025-04-10 06:00:00,2025-04-10,6,Thursday,256,6,12,38,5557,6432,0.0485,980,115,7,high
IG0000137,6,creator,10034,reel,Comedy,Profile,0,2024-12-07 23:00:00,2024-12-07,23,Saturday,77,2,6,15,2312,3303,0.0303,473,128,8,medium
IG0000138,12,creator,13798,reel,Music,External,0,2025-06-11 13:00:00,2025-06-11,13,Wednesday,321,8,15,60,6987,10929,0.037,372,126,8,medium
IG0000139,12,creator,13798,reel,Lifestyle,Home Feed,0,2025-08-31 21:00:00,2025-08-31,21,Sunday,200,6,0,20,2903,4268,0.053,189,120,12,high
IG0000140,20,brand,31095,image,Fitness,Hashtags,0,2025-08-21 21:00:00,2025-08-21,21,Thursday,47,4,3,12,1135,1534,0.043,337,133,7,high
IG0000141,11,brand,9044,image,Photography,Hashtags,0,2025-01-20 04:00:00,2025-01-20,4,Monday,86,3,6,20,3631,4427,0.026,622,118,6,medium
IG0000142,7,brand,3551,reel,Technology,Hashtags,0,2025-04-25 19:00:00,2025-04-25,19,Friday,57,1,5,8,3353,4534,0.0157,144,128,7,low
IG0000143,1,creator,9461,reel,Comedy,Hashtags,0,2025-05-25 15:00:00,2025-05-25,15,Sunday,181,6,11,27,10017,11580,0.0194,738,129,2,low
IG0000144,1,brand,9461,image,Technology,Explore,0,2025-01-11 06:00:00,2025-01-11,6,Saturday,385,7,18,58,5300,6949,0.0673,331,100,9,viral
IG0000145,20,creator,31095,image,Fashion,External,0,2024-12-06 20:00:00,2024-12-06,20,Friday,0,13,19,78,7035,9748,0.0113,59,112,8,high
IG0000146,13,brand,5824,carousel,Fashion,External,1,2025-11-08 15:00:00,2025-11-08,15,Saturday,325,13,15,43,7373,9306,0.0426,851,105,3,high
IG0000147,9,creator,6916,carousel,Comedy,Reels Feed,1,2025-08-08 23:00:00,2025-08-08,23,Friday,75,4,2,10,1737,2257,0.0403,345,118,6,medium
IG0000148,3,creator,10018,image,Comedy,Profile,0,2025-10-01 11:00:00,2025-10-01,11,Wednesday,947,31,47,140,11912,17917,0.065,740,115,3,viral
IG0000149,7,brand,3551,reel,Fitness,Home Feed,0,2025-06-19 15:00:00,2025-06-19,15,Thursday,399,8,27,71,12911,17389,0.029,59,125,12,medium
IG0000150,6,creator,10034,image,Comedy,Hashtags,1,2025-07-18 16:00:00,2025-07-18,16,Friday,81,3,6,15,4340,4812,0.0218,265,104,10,medium
IG0000151,8,brand,15986,image,Food,Explore,0,2025-04-23 07:00:00,2025-04-23,7,Wednesday,261,6,11,36,4576,6878,0.0457,912,114,13,high
IG0000152,9,creator,6916,carousel,Technology,Profile,0,2025-06-19 11:00:00,2025-06-19,11,Thursday,585,14,0,72,8069,10583,0.0634,511,131,8,viral
IG0000153,5,creator,10739,reel,Lifestyle,Hashtags,0,2025-09-04 04:00:00,2025-09-04,4,Thursday,513,12,35,80,10342,12127,0.0528,78,133,11,high
IG0000154,1,brand,9461,carousel,Beauty,Hashtags,0,2025-06-25 03:00:00,2025-06-25,3,Wednesday,211,6,12,37,9219,12127,0.0219,346,129,8,low
IG0000155,19,creator,3447,image,Comedy,Profile,1,2024-12-17 21:00:00,2024-12-17,21,Tuesday,344,11,11,53,4640,6645,0.0631,40,99,6,viral
IG0000156,10,brand,4542,carousel,Music,Profile,0,2025-05-17 22:00:00,2025-05-17,22,Saturday,194,5,6,37,10208,14693,0.0165,908,114,4,low
IG0000157,12,creator,13798,image,Fashion,Explore,0,2025-09-27 18:00:00,2025-09-27,18,Saturday,180,6,8,30,2642,4006,0.0559,282,103,9,viral
IG0000158,15,creator,8167,image,Food,Profile,0,2025-05-20 11:00:00,2025-05-20,11,Tuesday,455,8,21,59,9726,11112,0.0489,474,107,5,high
IG0000159,9,creator,6916,carousel,Photography,Reels Feed,1,2025-09-05 03:00:00,2025-09-05,3,Friday,166,2,13,26,2886,4383,0.0472,142,115,16,high
IG0000160,20,creator,31095,image,Beauty,External,0,2025-06-20 06:00:00,2025-06-20,6,Friday,399,9,22,62,11831,13840,0.0355,840,116,5,medium
IG0000161,17,brand,15923,carousel,Lifestyle,Explore,0,2025-09-01 06:00:00,2025-09-01,6,Monday,152,0,8,22,5182,7417,0.0245,59,113,8,medium
IG0000162,17,creator,15923,carousel,Beauty,Reels Feed,0,2024-12-23 18:00:00,2024-12-23,18,Monday,217,8,16,33,4505,7146,0.0383,459,139,9,medium
IG0000163,20,creator,31095,image,Comedy,Reels Feed,0,2025-09-28 02:00:00,2025-09-28,2,Sunday,174,6,7,28,2388,3539,0.0608,866,122,7,viral
IG0000164,12,brand,13798,image,Fitness,Explore,0,2025-02-07 23:00:00,2025-02-07,23,Friday,539,20,31,92,10645,16257,0.042,646,121,7,medium
IG0000165,7,creator,3551,carousel,Fashion,Explore,0,2025-05-06 23:00:00,2025-05-06,23,Tuesday,386,0,14,50,14020,16108,0.0279,363,113,7,medium
IG0000166,2,brand,22291,reel,Fashion,Home Feed,0,2025-08-27 18:00:00,2025-08-27,18,Wednesday,103,5,4,13,2484,3366,0.0371,644,136,6,high
IG0000167,3,brand,10018,carousel,Photography,Reels Feed,1,2025-09-11 22:00:00,2025-09-11,22,Thursday,157,4,6,26,2242,3039,0.0635,866,119,11,viral
